"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 05 11:31:41 WIB 2023","Wed Jul 05 11:31:41 WIB 2023","129","","To test the login functionality in ""The Internet Herokuapp"": The one where user logs in using invalid credentials","","","","When the user enters username as ""james"" and password as ""SuperSecretPassword!""",""
"passed","Wed Jul 05 11:31:39 WIB 2023","Wed Jul 05 11:31:39 WIB 2023","129","","To test the login functionality in ""The Internet Herokuapp"": The one where user logs in using valid credentials","","","","When the user enters username as ""tomsmith"" and password as ""SuperSecretPassword!""",""
"passed","Wed Jul 05 11:31:43 WIB 2023","Wed Jul 05 11:31:43 WIB 2023","0","","To test the login functionality in ""The Internet Herokuapp"": The one where user logs in using invalid credentials","","","","",""
"passed","Wed Jul 05 11:31:43 WIB 2023","Wed Jul 05 11:31:43 WIB 2023","838","","To test the login functionality in ""The Internet Herokuapp"": The one where user logs in using invalid credentials","","","","Then the user must remain on login page displaying a message ""Invalid password!""",""
"passed","Wed Jul 05 11:31:32 WIB 2023","Wed Jul 05 11:31:39 WIB 2023","7114","","To test the login functionality in ""The Internet Herokuapp"": The one where user logs in using valid credentials","","","","Given the user is on login page",""
"passed","Wed Jul 05 11:31:39 WIB 2023","Wed Jul 05 11:31:40 WIB 2023","903","","To test the login functionality in ""The Internet Herokuapp"": The one where user logs in using valid credentials","","","","Then the user must navigate to secure area page displaying a message ""You logged into a secure area!""",""
"passed","Wed Jul 05 11:31:42 WIB 2023","Wed Jul 05 11:31:42 WIB 2023","484","","To test the login functionality in ""The Internet Herokuapp"": The one where user logs in using invalid credentials","","","","Given the user is on login page",""
"passed","Wed Jul 05 11:31:39 WIB 2023","Wed Jul 05 11:31:39 WIB 2023","144","","To test the login functionality in ""The Internet Herokuapp"": The one where user logs in using valid credentials","","","","And clicks on login button",""
"passed","Wed Jul 05 11:31:42 WIB 2023","Wed Jul 05 11:31:42 WIB 2023","128","","To test the login functionality in ""The Internet Herokuapp"": The one where user logs in using invalid credentials","","","","When the user enters username as ""tomsmith"" and password as ""SuperPassword!""",""
"passed","Wed Jul 05 11:31:42 WIB 2023","Wed Jul 05 11:31:43 WIB 2023","146","","To test the login functionality in ""The Internet Herokuapp"": The one where user logs in using invalid credentials","","","","And clicks on login button",""
"passed","Wed Jul 05 11:31:40 WIB 2023","Wed Jul 05 11:31:40 WIB 2023","1","","To test the login functionality in ""The Internet Herokuapp"": The one where user logs in using valid credentials","","","","",""
"passed","Wed Jul 05 11:31:41 WIB 2023","Wed Jul 05 11:31:42 WIB 2023","850","","To test the login functionality in ""The Internet Herokuapp"": The one where user logs in using invalid credentials","","","","Then the user must remain on login page displaying a message ""Invalid username!""",""
